Name,East/E,North/N,Elevation/Z
VP01,498573.75,180114.016,28.821
VP02,498574.938,180117.313,28.878
VP03,498576.563,180113.406,28.728
VP04,498580.406,180115.578,28.795
VP06,498581.781,180115.5,28.205
VP07,498578.562,180108.063,28.86
VP08,498579.375,180108.156,29.043
VP09,498578.813,180105.266,29.026
VP10,498573.188,180141.781,33.111
VP11,498563.594,180201.578,49.283
VP12,498579.937,180162.25,35.668
VP13,498583.688,180171.063,47.528
VP14,498594.625,180203.422,47.814
VP15,498596.625,180202.594,35.907
VP16,498607.688,180227.563,47.459
VP17,498585.719,180113.891,30.616
VP18,498583.5,180108.438,29.666
VP19,498581.781,180116.469,31.026
VP20,498581.813,180116.516,28.907
VP21,498586.063,180114.859,31.042
VP22,498584.281,180115.563,30.074
VP23,498575.437,180117.672,29.856
VP24,498576.219,180117.359,29.864
VP25,498576.219,180117.359,30.751
VP25,498581.156,180125.547,30.64
VP26,498581.219,180125.531,29.451
VP27,498582.469,180126.922,29.444
VP28,498634.812,180262.281,31.613
VP29,498636.156,180261.547,29.719
VP30,498747.063,180231.438,36.609
VP31,498806.25,180294.734,31.2
VP32,498817.031,180284.891,31.323
VP32,498836.406,180279.531,35.488
VP33,498835.969,180278.016,31.522
VP34,498833.406,180283.594,31.439
VP35_Camera View 6,498575.031,180101.313,30.418
